"filename", "language", "JSON with Comments", "JSON", "Markdown", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"d:\FPTU\SWP391\Frontend\swp-frontend\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 2, 4
"d:\FPTU\SWP391\Frontend\swp-frontend\angular.json", "JSON", 0, 105, 0, 0, 0, 0, 0, 1, 106
"d:\FPTU\SWP391\Frontend\swp-frontend\package-lock.json", "JSON", 0, 13130, 0, 0, 0, 0, 0, 1, 13131
"d:\FPTU\SWP391\Frontend\swp-frontend\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 1, 48
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\app.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\app.component.spec.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 5, 28
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\app.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\app.module.ts", "TypeScript", 0, 0, 0, 183, 0, 0, 1, 5, 189
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\account.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\account.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\household-chore.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\household-chore.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\order.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\order.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 2, 16
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\review.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\review.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 1, 8
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\worker.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\common\worker.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 2, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-account\admin-account.component.html", "HTML", 0, 0, 0, 0, 230, 0, 15, 4, 249
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-account\admin-account.component.scss", "SCSS", 0, 0, 0, 0, 0, 74, 0, 18, 92
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-account\admin-account.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-account\admin-account.component.ts", "TypeScript", 0, 0, 0, 178, 0, 0, 7, 14, 199
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-navbar\admin-navbar.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-navbar\admin-navbar.component.scss", "SCSS", 0, 0, 0, 0, 0, 42, 0, 3, 45
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-navbar\admin-navbar.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-navbar\admin-navbar.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-order\admin-order.component.html", "HTML", 0, 0, 0, 0, 60, 0, 5, 4, 69
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-order\admin-order.component.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 13, 61
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-order\admin-order.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-order\admin-order.component.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 6, 11, 111
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-worker\admin-worker.component.html", "HTML", 0, 0, 0, 0, 77, 0, 5, 4, 86
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-worker\admin-worker.component.scss", "SCSS", 0, 0, 0, 0, 0, 48, 0, 13, 61
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-worker\admin-worker.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin-worker\admin-worker.component.ts", "TypeScript", 0, 0, 0, 131, 0, 0, 3, 15, 149
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin\admin.component.html", "HTML", 0, 0, 0, 0, 10, 0, 0, 1, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin\admin.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin\admin.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\admin\admin.component.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\app-user-navbar\app-user-navbar.component.html", "HTML", 0, 0, 0, 0, 21, 0, 2, 1, 24
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\app-user-navbar\app-user-navbar.component.scss", "SCSS", 0, 0, 0, 0, 0, 42, 0, 3, 45
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\app-user-navbar\app-user-navbar.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\app-user-navbar\app-user-navbar.component.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 4, 25
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 60, 0, 0, 2, 62
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\footer\footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 26, 0, 6, 32
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\footer\footer.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\guest-review-order\guest-review-order.component.html", "HTML", 0, 0, 0, 0, 54, 0, 4, 4, 62
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\guest-review-order\guest-review-order.component.scss", "SCSS", 0, 0, 0, 0, 0, 20, 0, 4, 24
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\guest-review-order\guest-review-order.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\guest-review-order\guest-review-order.component.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 6, 5, 55
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\header\header.component.html", "HTML", 0, 0, 0, 0, 31, 0, 2, 3, 36
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 53, 3, 10, 66
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\header\header.component.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 1, 13, 88
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\hiring-worker\hiring-worker.component.html", "HTML", 0, 0, 0, 0, 123, 0, 2, 5, 130
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\hiring-worker\hiring-worker.component.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\hiring-worker\hiring-worker.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\hiring-worker\hiring-worker.component.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 1, 7, 108
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\home\home.component.html", "HTML", 0, 0, 0, 0, 4, 0, 1, 1, 6
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\home\home.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\home\home.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\home\home.component.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 1, 2, 17
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 192, 0, 8, 2, 202
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\login\login.component.scss", "SCSS", 0, 0, 0, 0, 0, 18, 0, 2, 20
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 0, 153, 0, 0, 0, 20, 173
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\not-found-page\not-found-page.component.html", "HTML", 0, 0, 0, 0, 8, 0, 0, 3, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\not-found-page\not-found-page.component.scss", "SCSS", 0, 0, 0, 0, 0, 68, 1, 4, 73
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\not-found-page\not-found-page.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\not-found-page\not-found-page.component.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 3, 11
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\signup\signup.component.html", "HTML", 0, 0, 0, 0, 190, 0, 6, 2, 198
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\signup\signup.component.scss", "SCSS", 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\signup\signup.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 5, 22
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\signup\signup.component.ts", "TypeScript", 0, 0, 0, 115, 0, 0, 1, 13, 129
"d:\FPTU\SWP391\Frontend\swp-frontend\src\app\components\update-worker-dialog\update-worker-dialog.component.html", "HTML", 0, 0, 0, 0, 96, 0, 7, 3, 106
